Usuario, Data, Hora, Codigo, Operacao, Cliente
teste, 13/07/2026, 23:34:19, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:34:19, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:36:42, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:36:42, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:46:50, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:46:50, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:47:21, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:47:21, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:47:21, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:47:21, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:47:38, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:48:48, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:48:48, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:50:27, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:50:27, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:50:28, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:50:28, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:50:28, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:50:28, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:50:35, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:50:41, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:50:41, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:50:45, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:50:45, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:52:39, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:52:39, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:52:40, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:52:40, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:52:40, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:52:40, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:52:44, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:52:49, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:52:49, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:52:50, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:52:50, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:06, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:06, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:07, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:07, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:07, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:07, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:08, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:14, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:14, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:16, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:16, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:31, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:31, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:32, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:32, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:32, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:32, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:36, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:38, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:38, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:38, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
teste, 13/07/2026, 23:53:41, 1, Calculo do valor total do pedido (get Valor Pedido), lara
teste, 13/07/2026, 23:53:41, 1, Calculo do valor total do pedido (Calcular Valor Total), lara
